"run_num","initial_inf","duration","imposed_lockdown?","personal_protection?","isolate_symptomatics?","test_and_trace?","shield_vulnerable?","closed_system?","lose_immunity?","lockdown_threshold","protection_threshold","isolation_threshold","testtrace_threshold","shield_threshold","lockdown_strictness","protection_strength","isolation_strictness","travel_strictness","shield_adherance","sym_test_coverage","asym_test_coverage","p_infect_init","p_death","z_contact_min","asym_infections","incubation_mean","incubation_stdev","recovery_mean","recovery_stdev","death_mean","death_stdev","immunity_mean","iso_countdown_max","mean_iso_reduction","min_pxcor","min_pycor","max_pxcor","max_pycor","step","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count deads","count locked","currently_locked?","num_contacts","dead_0_29","dead_30_59","dead_60+","count_infecteds_0_29","count_infecteds_30_59","count_infecteds_60+"
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,27,87645,385,637,1200,129,4,22716,FALSE,306712,0,0,4,724,812,335
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,28,87574,368,659,1230,165,4,22842,FALSE,305323,0,0,4,766,854,339
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,29,87510,335,678,1267,206,4,22965,FALSE,304518,0,0,4,800,906,343
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,30,87444,319,689,1288,253,7,23040,FALSE,303571,0,0,7,840,935,345
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,31,87373,310,710,1300,300,7,23021,FALSE,302908,0,0,7,880,977,346
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,32,87302,293,741,1301,355,8,22984,FALSE,302862,0,0,8,930,1029,346
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,33,87201,327,766,1296,402,8,22927,FALSE,303030,0,0,8,968,1068,346
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,34,87098,351,772,1284,486,9,22844,FALSE,303331,0,0,9,1001,1108,346
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,35,86977,414,771,1276,552,10,22778,FALSE,303868,0,1,9,1032,1138,347
1,0.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0.1,0,0.25,0.25,75,50,75,99,50,25,0.5,10,2.5,2,60,1.6,0.4,20.5,6.7,16,8.21,365,14,2,0,0,299,299,36,86885,427,780,1272,625,11,22656,FALSE,304273,0,2,9,1072,1185,348
